"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"103",-0.0175113801162245,-0.0449980378717417,0.0191767738472219,-0.0191994155753073,0.0552132564240987,0.0339062860718864,-0.0593787263444949,0.00619702053847438,0.0168980973816135,0.00311392703477137,0.00932975242805327,-0.0424316072616821,0.00552327278526,-0.0193169884950708,-0.017516178617443,-0.0294307888518729,-0.0502148503216429,0.0449210278609915,0.0471262156606234,0.0411964696405855,-0.0416592274371891,0.000838784463065168,0.0566088048006429,-0.00333112798200981,-0.0855461648008453,0.0484095243563141,-0.0307137899004035,-0.00732935708444278,-0.0555218920085893,-0.0152597726417223,-0.00390198238754988,0.0531476694730162,0.0127384679594068
"104",-0.00660629170269944,-0.0533219603568417,0.0122216249516277,-0.0268947299699602,0.0547019843983059,0.0296643645168423,-0.0603541900574283,0.00341475290923599,0.0119407373851189,-0.00727888365318948,0.00732174056760077,-0.0433081927161317,0.00140343892021307,-0.0150768373989259,-0.0144218715882992,-0.0204473183101235,-0.0439510131669194,0.0493848962286049,0.0413155058263037,0.0328176665231902,-0.045130263432815,-0.000230983324720906,0.0479244463636177,-0.00473477605829843,-0.0821484087431634,0.054862673803998,-0.0353151238685267,-0.0108795091916487,-0.0530160090129716,-0.0109101011752725,-0.00506895361556939,0.0604945569567477,0.0175597766116438
"105",-0.00557103743880945,-0.0527171073821763,0.00980286980732459,-0.0269865359939584,0.0542853646481473,0.0295317416387996,-0.0565053860490485,0.00303404722466143,0.0125688379445525,-0.00692312695882507,0.00823727200780493,-0.0457509786257106,0.00116861195840048,-0.0162648021679276,-0.0150877914346496,-0.013737270304999,-0.0454451142312414,0.050966378170174,0.0415060561708913,0.0351928627175759,-0.0493326903876235,-0.000947466045466867,0.047556822438741,-0.00809446501459575,-0.0821687387703797,0.0564774584027092,-0.0376677687205431,-0.0127415047863045,-0.0573392433767807,-0.00843931056302683,-0.00664548614368093,0.0623021022056513,0.0124573865573184
"106",-0.00666524873068223,-0.0513042006104525,0.00926080636184937,-0.0260097183360326,0.0533699889904038,0.0297325313432857,-0.0539442309267607,0.00281850194391299,0.0140361103656387,-0.00509407510315314,0.00871580506617893,-0.0464295707719598,0.00240100425360718,-0.0175894337495617,-0.0162068294439426,-0.0107887569342979,-0.0463782680089698,0.050613338060624,0.042635397711764,0.0373333441222314,-0.0514730778180606,-0.00122031415686063,0.0487234315750799,-0.010308265235638,-0.0821521048644065,0.0561566289947396,-0.0379756546375668,-0.0128980854044246,-0.0601346437019681,-0.00714843314239725,-0.00786983964768581,0.0619248585023987,0.00904020627387077
"107",-0.00801986317032494,-0.0506052774666619,0.0103664612065455,-0.0246779567481965,0.0530151887809997,0.0296301880899996,-0.054519532730409,0.00313970302899666,0.0143838232502094,-0.00403789519658233,0.00831072641168541,-0.0454231578227784,0.00314953160358216,-0.0175797978384084,-0.0162595070808944,-0.0127366455856575,-0.0461357699293276,0.0495782357339464,0.043119200285256,0.0372398673273606,-0.0508332585800698,-0.000632351803519457,0.0494592002762046,-0.00946908543931277,-0.0824070120414533,0.0555306567584122,-0.0369290009193322,-0.011556688185665,-0.0593276358370736,-0.008130333224675,-0.00765230220739412,0.0606890467031309,0.0103734644871752
"108",-0.00683386657112052,-0.0520176989518726,0.0099447282870573,-0.0253033060909476,0.053303450886795,0.0292064662887188,-0.0555211182378755,0.00308384440205352,0.0134305335080963,-0.00588573945804183,0.0078223113177271,-0.0451933924537662,0.00227465448415108,-0.0166593167111149,-0.0153930459492086,-0.0133551292807075,-0.0450792691822779,0.0502694315890713,0.0422126961008554,0.0355592791136657,-0.0501267781500648,-0.00033777339656339,0.0481704922751265,-0.00867680453974966,-0.0821146028737927,0.0561263835361016,-0.037049522060869,-0.0116040207021481,-0.0579957699856994,-0.00860556947456676,-0.00695547819279472,0.0613163115056615,0.0124787604619076
"109",-0.00595764065392143,-0.0522737200280069,0.0093800480776939,-0.0260946542066211,0.0537533324818976,0.0292572782575094,-0.0551713753261854,0.0029102309386321,0.0130809671764852,-0.00627736824916409,0.00817116873108399,-0.0461856035380117,0.00159928573912323,-0.0166468090255731,-0.0153078750825326,-0.0121125881149607,-0.0455553475731752,0.0510094101961828,0.0418678432888468,0.0359939357068595,-0.0506489537943681,-0.000596660899803867,0.0477029792232664,-0.0089537590515713,-0.082233413046427,0.0566767220410521,-0.0377994947923049,-0.0127050344007947,-0.0585700521040335,-0.0081299587817499,-0.00713361474475048,0.0620990885119245,0.011393161430799
"110",-0.00663244378730113,-0.0513819384725696,0.00911393357467687,-0.0257226033882963,0.0532962589592042,0.029646491425486,-0.0536873048246001,0.00283863283640995,0.0140894618039677,-0.00517858129438715,0.00858072904242055,-0.0465406111180389,0.00232098078214473,-0.0175323964577116,-0.0161381798249171,-0.0105861438907228,-0.0462606654346211,0.0507327021083889,0.0426508864684927,0.0373050985853956,-0.0517048679153492,-0.000972978449353469,0.0485405466529637,-0.0103608655214258,-0.0821736444579778,0.0562985603541304,-0.0379529772454337,-0.0128793060700167,-0.0602628539021005,-0.00723916517323765,-0.00783834015236148,0.0618743249236307,0.00905672056855121
"111",-0.00757417319953767,-0.0506474410860758,0.0088579433218809,-0.0249500436383041,0.0524310464057504,0.0298569233563105,-0.052202056664738,0.00276233710771525,0.015268602150674,-0.00418601721738799,0.00868996943431393,-0.0463631244594565,0.00341161245048727,-0.0183695361869294,-0.016935758488313,-0.00928893299255455,-0.0464164429859498,0.0502314818256335,0.0435225695470801,0.0382103786563491,-0.0526551617127644,-0.00115959460769598,0.0493846323166537,-0.0118017151261953,-0.0818806747316038,0.0557044695326814,-0.0377955138572981,-0.0125238043848292,-0.0617576153510571,-0.00649730194745221,-0.00845427446441349,0.0613772640315588,0.0073974743244604
"112",-0.00806073362875418,-0.0503533420356968,0.00871510962788768,-0.0244927258664859,0.051964133499503,0.0298715504754418,-0.0514774034878777,0.002708686830493,0.0158374634419055,-0.00369660783018936,0.00868480730637019,-0.0462311465227481,0.00398813757979669,-0.0187601796256729,-0.0172977973104318,-0.00863415521690154,-0.0463831065751094,0.0499664541646281,0.0439259711766008,0.038664619308306,-0.0531396861018175,-0.00118909787954571,0.0497679631917661,-0.0124647255522514,-0.0817434574449015,0.0553840389769469,-0.0376784973853834,-0.0123408917419557,-0.0624691073016354,-0.00618478528342748,-0.0087515110736767,0.0611050055656708,0.00670205807298737
"113",-0.00898844059269029,-0.052008747871725,0.0117442664924058,-0.0243307323498066,0.052583974307696,0.0297814877036327,-0.0573377631595407,0.00314941025729152,0.0145391275880936,-0.00535016050692979,0.00729963396922243,-0.0426535839336334,0.00455127441844044,-0.0169819951988776,-0.0159787064239781,-0.0177973202847443,-0.0438584910796157,0.0481799380028676,0.0432905489953107,0.0342255399304464,-0.0472017272182065,0.000273120933490648,0.0499952587797083,-0.00804703625565992,-0.081494222516575,0.0532757561291335,-0.0345015088722911,-0.0089969542698085,-0.0556498283743738,-0.00950884001590515,-0.00598663590685985,0.0589574444801193,0.0148917680896178
"114",-0.00450949720215254,-0.0561323919419129,0.010350841768703,-0.027679192797782,0.0535629148216511,0.0287084272034963,-0.0601574422769556,0.00259884198235366,0.0114900041974174,-0.0111585219346737,0.00633208019791189,-0.0423475537990738,0.00162744313195362,-0.0140282264830418,-0.0136755969579413,-0.0187042232469296,-0.0411417003252409,0.050516377416459,0.0403736295670274,0.0293408267933247,-0.0451253030434304,0.000494716398543588,0.0457701933998275,-0.00600650354509333,-0.0802951848496323,0.055446498507707,-0.0354574066837159,-0.0100507499608636,-0.051846983619831,-0.00991211294417493,-0.00448212804814548,0.0612584284397334,0.0197751875376068
"115",-0.0125199092617015,-0.0504091075506906,0.0209735180193765,-0.0238741971162965,0.0569140461724046,0.0305627669090016,-0.0720401520661693,0.00345172760238994,0.0109468034619719,0.00112098158839757,0.00890391994278906,-0.0394319057089369,0.00562488460613825,-0.0169269792816052,-0.0153024387788044,-0.0383499452784729,-0.0463580056158587,0.0429837774516547,0.0426280814076311,0.0331717874505082,-0.0349936351830527,0.00234622282132402,0.0547670700005079,0.00244162797044835,-0.0841163587738887,0.045733463068514,-0.0288540716009858,-0.00468398680551424,-0.0425912617736615,-0.0168963985810773,-0.00115893649963602,0.0541128422942508,0.0245147000974455
"116",0.000695540529393761,-0.0586663032192164,0.0119483107557752,-0.0335235346929256,0.0585482127601245,0.0262150897659659,-0.0682428136309961,0.00213064786315621,0.00451074509852002,-0.0136705041996619,0.00526726318789828,-0.0454727624232877,-0.00408678271674828,-0.0100545927743201,-0.0105004998687121,-0.0239555516744048,-0.0408654132174466,0.0516432674262381,0.0347881094270867,0.0279045960003664,-0.0411064211925328,0.00108318889136157,0.0413555497741586,0.00202232592205521,-0.0828323912862208,0.0586572402959151,-0.0370972064807145,-0.0156923151807644,-0.0448387408631154,-0.0125192069111308,-0.00320295865654655,0.0641364702997414,0.0265005925205692
"117",-0.00198837646661343,-0.0555950342680909,0.0101822506064439,-0.0300879278599434,0.0564658742930444,0.0287031357627653,-0.0607487823602281,0.00284642630664885,0.00911849636430046,-0.0109397698218931,0.0072170885535601,-0.0465299384510852,-0.0020146050994653,-0.0132230301977572,-0.0129125785141629,-0.0171236331061562,-0.0440878767559334,0.0524478222425662,0.0387221222334425,0.0318210638503754,-0.0462669883998063,2.5355380277324e-05,0.0441226413325051,-0.00429496952352459,-0.0824133766885238,0.0583338244220501,-0.0380696789755666,-0.0144065956328939,-0.0526422611457142,-0.00996292527593566,-0.00501199407142494,0.0637545527575433,0.0174575099431674
"118",-0.00517949940575446,-0.0522745516387578,0.00946901616716157,-0.0268514291799902,0.0543032846060812,0.0300100044504455,-0.0553220365786454,0.00310918105356155,0.0129677810356169,-0.00676131214727048,0.00841976081665194,-0.0468679983354866,0.000755602562327023,-0.0163945480459313,-0.0154330202246747,-0.0125223886737546,-0.0462756474948514,0.0514694867866449,0.0420185669164687,0.035804910852243,-0.0502453091596733,-0.000653196605320184,0.0472931266317038,-0.00881728586540223,-0.0822384996381884,0.0570225683891745,-0.0380390157184501,-0.0132350478227368,-0.0584398978336409,-0.00799586550241437,-0.00694171442557972,0.0623512812324212,0.0106066068495223
"119",-0.00593837900654756,-0.0523298356438252,0.00907432413109408,-0.0256401593155383,0.0533668536920744,0.0296708028972551,-0.0544833854539252,0.00313659897540237,0.0136251947417999,-0.00663204596589608,0.00784971323746508,-0.0462446971315272,0.00160196767950664,-0.0166923858106125,-0.015525830672043,-0.0120520967905909,-0.0453806568361612,0.051198266635797,0.0424021706071327,0.0356345633903227,-0.0507762679599418,-0.000312260184574586,0.0474517688275671,-0.00945287669660048,-0.0819016245078889,0.056648626129375,-0.0375406146109614,-0.0124516749265079,-0.0589536535625512,-0.00806861381486898,-0.00693989461404083,0.0618734643184186,0.010992318008533
"120",-0.00610654497749187,-0.0521223289576114,0.00886722310340733,-0.025406045520057,0.0531963721858898,0.0298602201135216,-0.0538250260998839,0.00308447052891864,0.0140404380356391,-0.00635506758753851,0.00806118384119871,-0.0463662613628509,0.0017831594040855,-0.0169416346434646,-0.0157573021524948,-0.0113541015971805,-0.0456210537455726,0.0512303534394247,0.042753093954845,0.0360599221295907,-0.0511966833832302,-0.000291031701604499,0.0476837785343692,-0.00999097078472736,-0.0818104201607989,0.056531952982158,-0.0375587092559126,-0.0123939201981212,-0.059613134435748,-0.00784396956239073,-0.00711312646923375,0.0617126902558072,0.010137132834019
"121",-0.0069974021282413,-0.051108687975773,0.00878675992766695,-0.0248235155783315,0.0526494769110979,0.0301897908082413,-0.0524236345329908,0.00303259433656829,0.015110771019551,-0.00493599163070744,0.00847074621553431,-0.0465143431851719,0.00267889724945008,-0.0178520649511583,-0.0166395262461563,-0.0100426666070692,-0.0462870717492519,0.0506885492018641,0.043626173049924,0.0374668833214418,-0.0522466565184605,-0.000592202617758337,0.0486828611701694,-0.0112427114594339,-0.0817948507936318,0.0560046255265515,-0.0375631446804247,-0.0123466086083505,-0.0612063388906021,-0.0070970759993366,-0.0078751774050778,0.0612768614938261,0.00798952847390974
"122",-0.00597596159634857,-0.0536157995559883,0.00877210916355227,-0.0255575766753154,0.0524557042727973,0.0293737590361206,-0.0548749638079591,0.00284074702122883,0.0139257124337786,-0.00812775697768655,0.00706995622759164,-0.0447255503467886,0.00247133962409566,-0.0162021214590445,-0.0153180546920621,-0.0128677375652834,-0.0433883025457508,0.0508594804938381,0.0423783545884128,0.0336618101156254,-0.0498659369727645,0.000191641160252339,0.0470376835466364,-0.00970020618227338,-0.0808508730291523,0.055994655447593,-0.0365966570800984,-0.0111887879454324,-0.0578017962998239,-0.00813012270202872,-0.00649169893291357,0.0613158292619038,0.0131807545770525
"123",-0.00487928364711075,-0.053920097550201,0.00892158611393537,-0.0263870966973659,0.0534591525119549,0.0295867774386252,-0.055591386662613,0.0028795108303486,0.0130457494255869,-0.00868269683030338,0.00758597079362712,-0.0454796063613599,0.00119570869008172,-0.0156823168855175,-0.0148647865874173,-0.0130827570765376,-0.0441705903337527,0.0517119072332252,0.0419038892276943,0.0336618381909542,-0.0494599803731743,0.000219122636315347,0.0464018187804685,-0.00881254872622446,-0.0811911550025414,0.0566670862424131,-0.0371700900905226,-0.0119240764487385,-0.0572752146738588,-0.00847659742980451,-0.00613222483080291,0.0618718710764846,0.0130772244682968
"124",-0.00626794603343969,-0.0517852661849685,0.00892506663884055,-0.0253168603647306,0.0530768742575529,0.0302048070585623,-0.0533338773371941,0.00307990576873837,0.0144894340561772,-0.0058835516557149,0.00843152903805736,-0.0463870235157735,0.00203934982879938,-0.0172878163272727,-0.0162305765974307,-0.0109551131232549,-0.0460577329262419,0.0511018662877216,0.0432148034929402,0.0365668844019235,-0.0514860697050953,-0.000382205248341361,0.0480551213857114,-0.0104806075270041,-0.0817414342712592,0.0562750463197425,-0.0375924962491314,-0.0123410959877255,-0.0601718958897733,-0.00749117390227551,-0.00736266139757201,0.0614869916622979,0.00905761438704326
"125",-0.00713551794408597,-0.0510208414509268,0.00874751602996472,-0.0246078459055972,0.0524663436521907,0.0302978757730537,-0.0521041791296042,0.00309137557392609,0.0153888312318269,-0.004783420818249,0.00848046792327958,-0.0464245243392712,0.0028445838218586,-0.0180310684687645,-0.0168822578919416,-0.00988799310840598,-0.0462994049060554,0.0506161771751999,0.0438692782078317,0.0376246036766602,-0.0524290360836133,-0.000551400496588742,0.0487910331860983,-0.0115256089532145,-0.0817308792839205,0.0558634648481721,-0.0375249215557237,-0.012281899984703,-0.0615199013050167,-0.00696191986946619,-0.00795971298783977,0.0611453357311403,0.00761382991206332
"126",-0.00759760057594772,-0.0507122653885999,0.00862486129908365,-0.0241906170274007,0.0520701700110516,0.0303191951698285,-0.0514440769299275,0.00307826364680502,0.0158988412858807,-0.00429637687325219,0.00845879993097744,-0.046339368174436,0.00332775669200176,-0.0183916488524992,-0.0172139204885739,-0.00933259094666858,-0.0463052977544798,0.0503497409241099,0.044216875020896,0.0380686117859321,-0.0528909687804126,-0.000588166420839031,0.0491483561371162,-0.0121092570751371,-0.081650753925478,0.0556005469884405,-0.0374353496086434,-0.0121585995032517,-0.0621875875182017,-0.00669250380187685,-0.00825091198181855,0.0609238450901702,0.00697711923216313
"127",-0.00437839300246866,-0.0567651263233727,0.00858565680062775,-0.0273720710800564,0.0517664554812161,0.0288216652579862,-0.0576863311539387,0.00209310436660986,0.0130440197193316,-0.0117616189884371,0.00562979750036029,-0.0424261902002285,0.00260020705191674,-0.0146574880677283,-0.0146584210325417,-0.0161202915719285,-0.0398715945992549,0.0506369197207111,0.041375951981143,0.0287496227199172,-0.0465797439823686,0.000902189574015549,0.0455679106996064,-0.00858757333157587,-0.0788955863001616,0.0552646480266426,-0.0351657595903285,-0.0100059235410724,-0.053819706306075,-0.00843096800291761,-0.00513958086191413,0.0609787549589494,0.0181339456157547
"128",-0.00253175159036584,-0.0566957444512241,0.00904818679778611,-0.0285289280049527,0.0538753435905188,0.0293037258196641,-0.0586467924343654,0.00243644863979916,0.0114483245662607,-0.0121178369225864,0.00687268227224258,-0.0442469111093419,7.17732904330668e-05,-0.0139285948961545,-0.0138724949428965,-0.0161296970528178,-0.0421547721781071,0.0523736256177532,0.0405619437869875,0.0297048594761186,-0.0463528893720844,0.000696116156104577,0.0445375868600729,-0.00689419394177564,-0.0800123153473973,0.0567462997653365,-0.0366501328764843,-0.0116534400449705,-0.0534386252234469,-0.00914826392513333,-0.00460491966484666,0.0622376911180296,0.0170259017244779
"129",-0.00378561646894379,-0.0556036458291278,0.0089304154576293,-0.0271670237544551,0.0534628395636798,0.0293722112720484,-0.0572892729132246,0.00290982350045661,0.0122486392859851,-0.0110226822437129,0.00675459027150273,-0.044334727049947,0.000676094992487567,-0.0146273719738041,-0.0142340390135203,-0.0152915803483519,-0.0425102313607247,0.0520122150720909,0.0411227392963695,0.0309139798352302,-0.0476501682529227,0.000610857358513212,0.0451357455631497,-0.00778784017546364,-0.0804684978726104,0.0567312108272809,-0.0367340548956125,-0.0113828168264014,-0.0549439269077027,-0.00899454882687371,-0.00508840305438324,0.0620376400193333,0.0160453983911865
"130",0.00125150006540044,-0.0638275950588852,0.00846027126816145,-0.0335938129097632,0.051571207278056,0.0272333701213742,-0.0656547436776211,-0.00030688129297459,0.00959770211651243,-0.0195947456170134,0.00277835416484967,-0.0384179242933539,0.000671077828197397,-0.0108722883002791,-0.0129801711264456,-0.0239424513668314,-0.0333097251514137,0.0506360015695673,0.03787918443163,0.0183400242610345,-0.0389040061050087,0.00177204319416547,0.0411566332820478,-0.0044787820696237,-0.075170703443149,0.0547772497986252,-0.0333885464850165,-0.00951678131123461,-0.044051980536339,-0.00896288498645121,-0.0022331208387423,0.0612087236125163,0.0290515698050734
"131",0.00136617494788151,-0.058696031614036,0.0102618115688611,-0.0327007486443817,0.0572586778081582,0.0281687592313832,-0.0643544841196889,0.00217083933336024,0.0071345383566169,-0.0140588086064018,0.00635864203389715,-0.0459776573684497,-0.00402959659730094,-0.0114139775274562,-0.01206310226685,-0.0203609980587101,-0.0423066995132818,0.0533469803369524,0.0371292431217937,0.0283698242751999,-0.0432051011982877,0.000833960644331191,0.0415922522587099,-0.00147048424562633,-0.0815629027494037,0.0587859168872119,-0.0378865710806821,-0.0153113171181281,-0.0486646349897906,-0.0108846033685752,-0.00339385465956205,0.0642455227548692,0.0212189188670282
"132",-0.00168042649411261,-0.057494064939987,0.00921687507612239,-0.0294525428275081,0.0546654014984908,0.0289435138558573,-0.0603108083980514,0.00283671749160585,0.0102426268733594,-0.0135960062502459,0.00583776105510955,-0.0443956572760294,-0.00118598608156472,-0.0127916201406887,-0.0130415608330145,-0.0182336981300925,-0.0412921782337055,0.0524901960932814,0.0393324306260348,0.0283382190468704,-0.0452392806323167,0.000897745642697654,0.0431431699208166,-0.00534260074134333,-0.0804368337135073,0.0576157076360409,-0.0367769901287868,-0.0124235488630846,-0.0516951844544666,-0.00985044955248365,-0.00406382937904896,0.0629607449058746,0.0196170154679063
"133",-0.00215351684712219,-0.0569683012695456,0.00899192423327056,-0.0282414380748342,0.0544413172512212,0.0291612862497184,-0.059104780388289,0.00307439700637592,0.0107315367140179,-0.0130895829510356,0.00612666127076391,-0.0446289206730316,-0.00111764370169782,-0.013116593153285,-0.0130365264690373,-0.0171141256811133,-0.0418279701800272,0.0528817407996709,0.0399497330926993,0.0291332212324523,-0.0461658939069126,0.00116962230783967,0.0433558859662983,-0.00589606292352338,-0.0805652804819362,0.057656170374406,-0.0368201436185253,-0.0119857426002151,-0.0528222147540362,-0.0100528037665421,-0.00407051812552931,0.06268046309445,0.0185706383649205
"134",-0.00418932774020984,-0.0537843461817947,0.00901881294200213,-0.0263531802486535,0.0541149401682432,0.0302082116970645,-0.0557138025417393,0.00344456981411262,0.0127897203028547,-0.00891630143598945,0.00765740222867744,-0.0461646015928815,-9.63204162794639e-05,-0.0154379158646917,-0.0148174971053636,-0.0138255846010953,-0.0449633648340573,0.0523246090256054,0.0420299662049574,0.0335933633363749,-0.049354989293343,0.000522496374275788,0.0458149281726707,-0.00818784304496971,-0.0815779380226609,0.0572825160159221,-0.0374620957935987,-0.0123490025776276,-0.0571972638560787,-0.00896846644602077,-0.00570711798994697,0.0620676295522316,0.0126251607457237
"135",-0.0061026562387353,-0.0517892449681423,0.00873906415529602,-0.0248350170251888,0.0529362365974046,0.0307328799181017,-0.052845473991046,0.00346480531964996,0.0148794761118375,-0.00613849902070416,0.00823435730182205,-0.0464515250610557,0.00163178612171837,-0.0172608382989859,-0.0164062756658154,-0.0112882810162503,-0.0460871297689619,0.051313664477751,0.0437110667149015,0.0362595999598507,-0.0515775164562088,3.92968018902238e-05,0.047721216040088,-0.0105997709588428,-0.0816171398642143,0.0563657500351507,-0.0374012109532548,-0.0121382984320139,-0.0604046262200343,-0.00771445323009122,-0.00709093552472507,0.0612443576465943,0.00873365701330044
"136",-0.00429465433452371,-0.0557873148624155,0.00823210817173171,-0.0264293895160455,0.0524197248338937,0.0295156828953023,-0.0560367569057886,0.00290646991385136,0.0133061534630531,-0.0111939065221865,0.00608218356292125,-0.0440319996098389,0.00136545981804277,-0.014860932517511,-0.0146569605390936,-0.0146928414605764,-0.0415111563608634,0.0516810451853664,0.0418616191805873,0.030618609825086,-0.0481616640935764,0.00108805803331767,0.0451245916205457,-0.00888001318160277,-0.0798634461113242,0.0563389359581921,-0.036090470403555,-0.0109478168582097,-0.0558036493783111,-0.00867899630338087,-0.00526600301256878,0.0614665731657523,0.0157817438257558
"137",-0.00351124905929934,-0.0554204612281443,0.00876332059375154,-0.0268669124225317,0.0536038582682529,0.0299499938170217,-0.0565898865560738,0.00308411610831931,0.0125970306003855,-0.0108686944513905,0.00700600657862427,-0.044976841408595,0.000141560906214807,-0.0146297653116776,-0.0144046484650026,-0.0148636812788554,-0.0431362694699914,0.0524054668589441,0.0416974240511537,0.0313689147833517,-0.0480413246533352,0.00103936443169904,0.0449539671165978,-0.00792854785173561,-0.0805316791611327,0.0569089359685463,-0.0367443453557791,-0.0115435381016049,-0.0555973734004834,-0.00912691913403828,-0.00504497925017177,0.0618303422508066,0.0148723202903163
"138",-0.00545940988067776,-0.0524712459372061,0.00882849581738914,-0.0252189562178089,0.0532434641529722,0.0307081022870803,-0.0536176565260869,0.00348297027052714,0.0143964369896835,-0.00699420805730759,0.00813629715325102,-0.0462884068964939,0.00113327574395573,-0.016761168607091,-0.0160900393388654,-0.0120653502009517,-0.045776197472633,0.0516579750286929,0.0433822137255355,0.0354602784838918,-0.0509102012854246,0.000290887482669761,0.0471387724291795,-0.00995344446619859,-0.0815234344149847,0.056543881733965,-0.0373796118433907,-0.012129156958177,-0.0595067178902308,-0.00805360371809137,-0.00663360932706337,0.0613831271555744,0.00968011548932195
"139",-0.0064574174955914,-0.0515667727042242,0.00864709508287373,-0.0244114455196488,0.0526323179745609,0.0307833893411028,-0.0522707751322755,0.00352822280716249,0.0153458371269841,-0.00568263454733764,0.00817949578904047,-0.0464144464228307,0.00197663981716533,-0.0175847574965269,-0.0167938364634766,-0.01087387679463,-0.0460908815590011,0.0510981625529477,0.0440721770262184,0.0367654641144444,-0.0520301796341224,0.000117992319197192,0.0479622620576719,-0.0110502614674392,-0.0816251079987882,0.0561379830007673,-0.0373357427745365,-0.0121525145465191,-0.0610450427821355,-0.00752004650053718,-0.0073288673847527,0.0610294269618454,0.00809805583581626
"140",-0.00680625373097117,-0.0513327106555533,0.0085747929560073,-0.0241167201619167,0.0523861096375998,0.0307643281624849,-0.0518177790970194,0.0035306698549384,0.0156880423225236,-0.0052779212268824,0.00813120161485829,-0.0464061004239956,0.00230089778689182,-0.0178360080849598,-0.017037846988859,-0.010473288531607,-0.0461013117543304,0.05087773364117,0.0442915891994071,0.0371765545923096,-0.0524011913629936,0.000109680010237389,0.0482150091577257,-0.0114309724953653,-0.0816416151072047,0.0559696728303568,-0.0372939578997823,-0.0121540706662878,-0.0615547098675469,-0.00734401214281514,-0.00757595983343865,0.0608901743311597,0.00765206473753164
"141",-0.00698219002713221,-0.0512384411977589,0.00852525977030293,-0.023935602110846,0.0522270656554376,0.0307804579841961,-0.0515501996152568,0.00354436426983889,0.015900664337242,-0.00511444460266346,0.00810907584788311,-0.0463494769115425,0.00247727759658257,-0.017974099500087,-0.0171801343809577,-0.010276793050018,-0.0460871404141236,0.0507770199462569,0.0444300004836218,0.0373273632084161,-0.0525824604615157,0.000127368720133357,0.0483415366698371,-0.0116742074571468,-0.0816054437110423,0.0558644594231729,-0.0372608677596199,-0.0120967609403991,-0.0618256672369282,-0.00723783329398497,-0.00768860018324442,0.0607970333233667,0.00741771905922797
"142",-0.00677662276126069,-0.0514040145572327,0.00860412288868391,-0.024120866856078,0.052444574976452,0.030712909657434,-0.0518853322463427,0.00357394638296793,0.0156389178246131,-0.00529258874980965,0.00806699820770894,-0.0464302234135377,0.00223360302767772,-0.0178078850674385,-0.0170557438219337,-0.0105396021187688,-0.0460703810498804,0.0508720689489924,0.0442294888110578,0.0372324510585299,-0.0524118772789521,0.000194613028035952,0.0481598650404941,-0.0113606708166652,-0.0817286758872542,0.0559998302974164,-0.037341420195755,-0.0122798309606987,-0.0615634367550687,-0.00737414105606671,-0.00760377251155421,0.0609274509547207,0.00773380323438747
"143",-0.00659366221018276,-0.0515287769184533,0.00867138601390203,-0.024282766858139,0.0526201353105129,0.0307034571951975,-0.0521513571560071,0.00362014185248125,0.0154375265780385,-0.00548103817158012,0.00803752821051906,-0.0464781667161611,0.00200771483460846,-0.0176757272305631,-0.0169638796347358,-0.010797090729463,-0.0460724195833925,0.0509639021816314,0.0440809914083843,0.0370959919444149,-0.0522457823910274,0.000233271821888113,0.0480038306092601,-0.0111287182560262,-0.0818089421669275,0.0561140952795641,-0.0374108784130182,-0.0124038457101916,-0.0613397855692434,-0.00746963991128788,-0.00751837855635209,0.0610355450479074,0.00797349642948118
"144",-0.00703416027915434,-0.0512260228973126,0.00850714697581316,-0.023792592972329,0.0521272786222141,0.0308658464635558,-0.0513676281929814,0.00363944057735355,0.0160506661966021,-0.0051362082611479,0.00807806611056887,-0.0462504230559643,0.00249659500384507,-0.018073433014855,-0.0173187615911309,-0.0102752904965511,-0.0460773653627491,0.0507667320951935,0.0445314496758032,0.0373018517730095,-0.0526631272265651,0.000197265327458108,0.048371850989852,-0.0118635349335905,-0.0815625334356957,0.055810434704397,-0.0372726070152213,-0.0120370627377508,-0.0620057372961024,-0.00716220467792606,-0.00772743532519279,0.0607501149700867,0.00727694878608082
"145",-0.00740374027753562,-0.0510205726584346,0.00837049641985937,-0.0233559488605498,0.0517269265245286,0.0309176480881364,-0.050735642570628,0.00362947912417612,0.0165245464708904,-0.00480402756230902,0.00809778532450847,-0.0460823049377462,0.00292956150834745,-0.0183893999631179,-0.0175925119620221,-0.00978925031974214,-0.0460449528208521,0.0505930194561347,0.0448689317023874,0.0375578093756248,-0.0530414081423467,0.000217806709701964,0.0486676700303001,-0.0124147398828991,-0.0813976411741754,0.055551149311088,-0.0371550169006805,-0.0117826664432924,-0.0625653829572964,-0.00694570989511183,-0.00792379911713628,0.0605068601818834,0.00675265530151944
